doi,title,journal,pmid,uri,cohorts.pub,cohorts.sci,cohorts.com,cohorts.doc,altmetric_id,is_oa,cited_by_fbwalls_count,cited_by_gplus_count,cited_by_msm_count,cited_by_posts_count,cited_by_rh_count,cited_by_tweeters_count,cited_by_weibo_count,cited_by_wikipedia_count,cited_by_patents_count,cited_by_accounts_count,score,history.1y,history.6m,history.3m,history.1m,history.1w,history.6d,history.5d,history.4d,history.3d,history.2d,history.1d,history.at,url,readers.citeulike,readers.mendeley,readers.connotea,readers_count
"10.1007/s10858-015-9995-7","Extracting protein dynamics information from overlapped NMR signals using relaxation dispersion difference NMR spectroscopy","Journal of Biomolecular NMR","26476958",,1,,,,7529503,false,,,,1,,1,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,"http://dx.doi.org/10.1007/s10858-015-9995-7","0","15","0",15
"10.1210/me.2015-1133","Sirtuin1 Suppresses Osteoclastogenesis by Deacetylating FoxOs","Molecular Endocrinology","26287518",,,,,,33016913,false,,1,,2,,,,,1,2,4,3,0,0,0,0,0,0,0,0,0,0,4,"http://dx.doi.org/10.1210/me.2015-1133","0","5","0",5
"10.1016/j.neuropharm.2012.07.009","Effects of modafinil on non-verbal cognition, task enjoyment and creative thinking in healthy volunteers","Neuropharmacology","22820554","http://linkinghub.elsevier.com/retrieve/pii/S0028390812003449",25,2,1,,939156,false,1,1,14,63,,28,,,,54,181.156,19.866,8.616,8.616,0,0,0,0,0,0,0,0,181.156,"http://dx.doi.org/10.1016/j.neuropharm.2012.07.009","0","247","0",247
"10.1023/a:1020699013309",,"Archives of Sexual Behavior",,,4,,,,1134369,false,,,1,8,,4,,1,,7,19.25,3,1,1,0,0,0,0,0,0,0,0,19.25,"http://dx.doi.org/10.1023/a:1020699013309","0","61","0",61
"10.1108/07363760110410263","The myth of the ethical consumer \u2013 do ethics matter in purchase behaviour?","Journal of Consumer Marketing",,,2,1,2,,625933,false,,,,5,,5,,,,5,3.5,0,0,0,0,0,0,0,0,0,0,0,3.5,"http://dx.doi.org/10.1108/07363760110410263","0","1074","0",1074
"10.1126/science.aad5143","In vivo genome editing improves muscle function in a mouse model of Duchenne muscular dystrophy","Science","26721684","http://www.sciencemag.org/cgi/doi/10.1126/science.aad5143",94,53,11,12,4942123,false,14,9,40,274,1,170,,,1,252,516.096,17.35,9.85,0,0,0,0,0,0,0,0,0,516.096,"http://dx.doi.org/10.1126/science.aad5143","6","0","0",6
"10.1016/j","How Do DNA Repair Proteins Locate Potential Base Lesions ? A Chemical Crosslinking Method to Investigate O 6 -Alkylguanine-DNA Alkyltransferases","DNA Repair",,,10,2,,,637757,false,54,2,80,291,,12,,,66,226,702.184,7,0,0,0,0,0,0,0,0,0,0,702.184,"http://dx.doi.org/10.1016/j","3","7654","0",7657
"10.1126/science.aad7977","Sperm tsRNAs contribute to intergenerational inheritance of an acquired metabolic disorder","Science","26721680","http://www.sciencemag.org/cgi/doi/10.1126/science.aad7977",97,36,,14,4942134,false,2,1,18,188,,147,,2,,180,264.188,19.35,0,0,0,0,0,0,0,0,0,0,264.188,"http://dx.doi.org/10.1126/science.aad7977","1","1","0",508
"10.1126/science.aad6252","Strain-release amination","Science","26816372",,41,12,1,1,4994812,false,1,,15,83,1,55,,,2,76,152.76,8.08,0,0,0,0,0,0,0,0,0,0,152.76,"http://dx.doi.org/10.1126/science.aad6252","0","30","0",30
"10.1038/nrclinonc.2015.213","Kinase inhibitors and monoclonal antibodies in oncology: clinical implications","Nature Reviews Clinical Oncology","26718105",,5,7,2,,4943289,false,5,,,20,,14,,,,19,8.2,0,0,0,0,0,0,0,0,0,0,0,8.2,"http://dx.doi.org/10.1038/nrclinonc.2015.213","1","188","0",189
